n_estimators,max_depth,min_samples_leaf,n_series,mape_median,mape_mean_trimmed,pct_under_50
100,3,1,1536,0.10487466721415471,0.14767446496221084,91.47135416666666
50,3,1,1536,0.10565483602777968,0.14689398279773538,91.73177083333334
50,2,1,1536,0.1080071089415239,0.1525388420988538,90.8203125
100,2,1,1536,0.10857191753283331,0.1541723622728496,91.015625
50,3,2,1536,0.11120918100493868,0.1551681900613399,90.8203125
200,3,2,1536,0.11158196016598097,0.1572043663252681,90.625
100,4,2,1536,0.11252942164321164,0.15810985502803784,90.49479166666666
100,3,2,1536,0.11291020244162028,0.1585217709154927,90.55989583333334
200,4,3,1536,0.12182094049965447,0.170670903238244,90.36458333333334
100,5,3,1536,0.12435591515094352,0.17201095220847032,90.16927083333334
100,4,3,1536,0.12435591515094357,0.17201095220847032,90.16927083333334
200,5,5,1536,0.14825533875971053,0.1996774470584631,87.6953125
